��������,������,������,���,����

"Почти знаменит,""7,9"",,2000,""['Adventure, Comedy']"""
"Горбатая гора,""7,7"",,2005,""['Drama, Romance']"""
"Фицкарральдо,""8,1"",,1982,""['Adventure, Drama']"""
"Дилижанс,""7,9"",,1939,""['Adventure, Drama']"""
"Английский пациент,""7,4"",,1996,""['Drama, Romance']"""
"Американская история Икс,""8,5"",,1998,[]"
"Великолепие Амберсонов,""7,7"",,1942,""['Drama, Romance']"""
"Афера,""8,3"",,1973,""['Comedy, Crime']"""
"Чeловек на все времена,""7,7"",,1966,""['Biography, Drama']"""
"Трудности перевода,""7,7"",,2003,""['Comedy, Drama']"""
"Бешеные псы,""8,3"",,1992,""['Crime, Drama']"""
"Влюбленный Шекспир,""7,1"",,1998,""['Comedy, Drama']"""
"Индиана Джонс и последний крестовый поход,""8,2"",,1989,""['Action, Adventure']"""
"Принцесса-невеста,""8,1"",,1987,""['Adventure, Family']"""
"Солярис,8,,1972,""['Drama, Mystery']"""
"Женщина не в себе,""8,2"",,1974,""['Drama, Romance']"""
"Вверх,""8,2"",,2009,""['Animation, Adventure']"""
"Зелёная миля,""8,6"",,1999,""['Crime, Drama']"""
"Доктор Живаго,8,,1965,""['Drama, Romance']"""
"Лабиринт Фавна,""8,2"",,2006,""['Drama, Fantasy']"""
"Голдфингер,""7,7"",,1964,""['Action, Adventure']"""
"Аэроплан,""7,7"",,1980,[]"
"Реквием по мечте,""8,3"",,2000,[]"
"Нечто,""8,1"",,1982,""['Horror, Mystery']"""
"Парк юрского периода,""8,1"",,1993,""['Action, Adventure']"""
"Терминатор,8,,1984,""['Action, Sci']"""
"Сверкающие седла,""7,7"",,1974,""['Comedy, Western']"""
"В поисках Немо,""8,1"",,2003,""['Animation, Adventure']"""
"Рестлер,""7,9"",,2008,""['Drama, Sport']"""
"Перед закатом,""8,1"",,2004,""['Drama, Romance']"""
"Бункер,""8,2"",,2004,""['Biography, Drama']"""
"Цельнометаллическая оболочка,""8,3"",,1987,""['Drama, War']"""
"Тонкая красная линия,""7,6"",,1998,""['Drama, History']"""
Рио Браво,8,,1959,[]
"Харви,""7,9"",,1950,""['Comedy, Drama']"""
"Планета обезьян,8,,1968,""['Adventure, Sci']"""
"Могила светлячков,""8,5"",,1988,""['Animation, Drama']"""
"Ненависть,""8,1"",,1995,""['Crime, Drama']"""
"Три цвета: Синий,""7,9"",,1993,""['Drama, Music']"""
"Звездный путь 2: Гнев Хана,""7,7"",,1982,""['Action, Adventure']"""
"Человек, который хотел быть королем,""7,8"",,1975,""['Adventure, History']"""
"Красные башмачки,""8,1"",,1948,""['Drama, Music']"""
"Гладиатор,""8,5"",,2000,""['Action, Adventure']"""
"Ночи в стиле буги,""7,9"",,1997,[]"
"Красавица и чудовище,""7,9"",,1946,""['Drama, Fantasy']"""
"Пустоши,""7,8"",,1973,""['Action, Crime']"""
"Мой отец и мой сын,""8,2"",,2005,""['Drama, Family']"""
"Чyдо на 34-й улице,""7,9"",,1947,""['Comedy, Drama']"""
"На несколько долларов больше,""8,2"",,1965,[]"
"Супермен,""7,3"",,1978,""['Action, Adventure']"""
"Дети небес,""8,3"",,1997,""['Drama, Family']"""
"Ран,""8,2"",,1985,""['Action, Drama']"""
"Охота,""8,3"",,2012,[]"
"Дни жатвы,""7,8"",,1978,""['Drama, Romance']"""
"Храброе сердце,""8,3"",,1995,""['Biography, Drama']"""
"Гарри Поттер и Дары смерти: Часть II,""8,1"",,2011,""['Adventure, Fantasy']"""
"Комната,""8,1"",,I) (,""['Drama, Thriller']"""
"Джанго освобожденный,""8,4"",,2012,""['Drama, Western']"""
"Академия Рашмор,""7,7"",,1998,""['Comedy, Drama']"""
"Прочь,""7,7"",,I) (,""['Horror, Mystery']"""
"Лицо со шрамом,""8,3"",,1983,""['Crime, Drama']"""
"Бесславные ублюдки,""8,3"",,2009,""['Adventure, Drama']"""
"Драйв,""7,8"",,I) (,""['Action, Drama']"""
"Звёздные войны: Пробуждение Силы,""7,8"",,2015,""['Action, Adventure']"""
"Седьмая печать,""8,2"",,1957,""['Drama, Fantasy']"""
"Служанка,""8,1"",,2016,""['Drama, Romance']"""
"Шоу Трумана,""8,1"",,1998,""['Comedy, Drama']"""
"Малхолланд Драйв,""7,9"",,2001,""['Drama, Mystery']"""
"Жизнь Брайана по Монти Пайтон,""8,1"",,1979,[]"
Изгоняющий дьявола,8,,1973,[]
"Аладдин,8,,1992,""['Animation, Adventure']"""
"Волк с Уолл-стрит,""8,2"",,2013,""['Biography, Comedy']"""
"Донни Дарко,8,,2001,""['Drama, Mystery']"""
"Перед рассветом,""8,1"",,1995,""['Drama, Romance']"""
"Впусти меня,""7,9"",,2008,""['Crime, Drama']"""
"Ультиматум Борна,8,,2007,""['Action, Adventure']"""
"Торжество,""8,1"",,1998,[]"
"Рататуй,8,,2007,""['Animation, Adventure']"""
"Джон Ф. Кеннеди: Выстрелы в Далласе,8,,1991,""['Drama, History']"""
"Книга джунглей,""7,6"",,1967,""['Animation, Adventure']"""
"Бандит,""8,2"",,1996,""['Crime, Drama']"""
"Дитя человеческое,""7,9"",,2006,""['Action, Drama']"""
"Социальная сеть,""7,7"",,2010,""['Biography, Drama']"""
"Принцесса Мононоке,""8,4"",,1997,""['Animation, Action']"""
"Жить,""8,3"",,1952,[]"
"Суперсемейка,8,,2004,""['Animation, Action']"""
"1+1,""8,5"",,2011,""['Biography, Comedy']"""
"Человек-Слон,""8,1"",,1980,""['Biography, Drama']"""
"Во имя отца,""8,1"",,1993,""['Biography, Crime']"""
"Убить Билла,""8,1"",,2003,""['Action, Crime']"""
"Бегущий по лезвию 2049,8,,2017,""['Action, Drama']"""
"007: Координаты «Скайфолл»,""7,8"",,2012,""['Action, Adventure']"""
"Братья Блюз,""7,9"",,1980,""['Action, Adventure']"""
"Тайна в его глазах,""8,2"",,2009,""['Drama, Mystery']"""
"День сурка,8,,1993,""['Comedy, Fantasy']"""
"Телохранитель,""8,2"",,1961,""['Action, Drama']"""
"Американские граффити,""7,4"",,1973,""['Comedy, Drama']"""
"Преступления и проступки,""7,9"",,1989,""['Comedy, Drama']"""
"Сука любовь,""8,1"",,2000,""['Drama, Thriller']"""
"Ходячий замок,""8,2"",,2004,""['Animation, Adventure']"""
"Ганди,8,,1982,""['Biography, Drama']"""
"Мой сосед Тоторо,""8,2"",,1988,""['Animation, Comedy']"""
"Дурная слава,8,,1946,""['Drama, Film', 'Noir, Romance']"""
"Нюрнбергский процесс,""8,2"",,1961,""['Drama, War']"""
"Сладкий запах успеха,8,,1957,""['Drama, Film']"""
"Мэри и Макс,""8,1"",,2009,""['Animation, Comedy']"""
"Она,8,,2013,""['Drama, Romance']"""
"Пожары,""8,3"",,2010,""['Drama, Mystery']"""
"Незнакомцы в поезде,8,,1951,""['Crime, Drama']"""
"Город грехов,8,,2005,""['Crime, Thriller']"""
"Карты, деньги, два ствола,""8,2"",,1998,""['Action, Comedy']"""
"Фаворитка,""7,5"",,2018,""['Biography, Comedy']"""
"Перед полуночью,""7,9"",,2013,""['Drama, Romance']"""
"Игры разума,""8,2"",,2001,""['Biography, Drama']"""
"Путь Карлито,""7,9"",,1993,""['Crime, Drama']"""
"Неприкасаемые,""7,9"",,1987,""['Crime, Drama']"""
"Казино,""8,2"",,1995,""['Crime, Drama']"""
"Гран Торино,""8,1"",,2008,[]"
"Воспоминания об убийстве,""8,1"",,2003,""['Crime, Drama']"""
"По соображениям совести,""8,1"",,2016,""['Biography, Drama']"""
"Мой парень - псих,""7,7"",,2012,""['Comedy, Drama']"""
"Маленькая Мисс Счастье,""7,8"",,2006,""['Comedy, Drama']"""
"Ночи Кабирии,""8,1"",,1957,[]"
"В диких условиях,""8,1"",,2007,""['Adventure, Biography']"""
"Дюнкерк,""7,8"",,2017,""['Action, Drama']"""
"Магазинные воришки,""7,9"",,2018,""['Crime, Drama']"""
"Сталкер,""8,1"",,1979,""['Drama, Sci']"""
"Дьяволицы,""8,1"",,1955,""['Crime, Drama']"""
"Типа крутые легавые,""7,8"",,2007,""['Action, Comedy']"""
"Исчезнувшая,""8,1"",,2014,""['Drama, Mystery']"""
"Отель «Руанда»,""8,1"",,2004,""['Biography, Drama']"""
"Дикие истории,""8,1"",,2014,""['Comedy, Drama']"""
"Отель «Гранд Будапешт»,""8,1"",,2014,""['Adventure, Comedy']"""
"Пленницы,""8,1"",,2013,""['Crime, Drama']"""
"Персона,""8,1"",,1966,""['Drama, Thriller']"""
"История игрушек 2,""7,9"",,1999,""['Animation, Adventure']"""
Короткий срок 12,8,,2013,[]
"Марсианин,8,,2015,""['Adventure, Drama']"""
"Гонка,""8,1"",,I) (,""['Action, Biography']"""
"Хатико: самый верный друг,""8,1"",,2009,""['Biography, Drama']"""
"Рассвет мертвецов,""7,9"",,1978,""['Horror, Thriller']"""
"Поймай меня, если сможешь,""8,1"",,2002,""['Biography, Crime']"""
"Акира,8,,1988,""['Animation, Action']"""
"Бумажная луна,""8,1"",,1973,""['Comedy, Crime']"""
"Двойная рокировка,8,,2002,""['Action, Crime']"""
"Мэри Поппинс,""7,8"",,1964,""['Comedy, Family']"""
"Собачий полдень,8,,1975,""['Biography, Crime']"""
"Трио из Бельвилля,""7,8"",,2003,""['Animation, Comedy']"""
"Небо над Берлином,8,,1987,""['Drama, Fantasy']"""
"Что случилось с Бэби Джейн?,""8,1"",,1962,""['Drama, Horror']"""
"Аномализа,""7,3"",,2015,""['Animation, Comedy']"""
"Эдвард руки-ножницы,""7,9"",,1990,""['Drama, Fantasy']"""
"Охотники за привидениями,""7,8"",,1984,""['Action, Comedy']"""
"Хэллоуин,""7,7"",,1978,""['Horror, Thriller']"""
"Бесподобный мистер Фокс,""7,9"",,2009,""['Animation, Adventure']"""
Прислуга,8,,2011,[]
"Под кайфом и в смятении,""7,6"",,1993,[]"
"Кошмар перед Рождеством,8,,1993,""['Animation, Family']"""
"Любовное настроение,""8,1"",,2000,""['Drama, Romance']"""
"Стальной гигант,8,,1999,""['Animation, Action']"""
"Мстители,8,,2012,""['Action, Adventure']"""
"Запретная планета,""7,6"",,1956,""['Adventure, Sci']"""
"Земляничная поляна,""8,2"",,1957,""['Drama, Romance']"""
"Человек, который застрелил Либерти Вэланса,""8,1"",,1962,""['Drama, Western']"""
"Хочу жениться на дочери миллионера,""8,1"",,1994,""['Action, Comedy']"""
"Навсикая из Долины ветров,""8,1"",,1984,""['Animation, Adventure']"""
"Письма с Иводзимы,""7,9"",,2006,""['Action, Adventure']"""
"Герой,""7,9"",,2002,""['Action, Adventure']"""
"Париж, Техас,""8,1"",,1984,[]"
"Фанни и Александр,""8,1"",,1982,[]"
"Таинственная река,""7,9"",,2003,""['Crime, Drama']"""
"Малыш на драйве,""7,6"",,2017,""['Action, Crime']"""
"Большой куш,""8,2"",,2000,""['Comedy, Crime']"""
"Воин,""8,1"",,2011,""['Action, Drama']"""
Отточенное лезвие,8,,1996,[]
"Андеграунд,""8,1"",,1995,""['Comedy, Drama']"""
Кошка на раскаленной крыше,8,,1958,[]
"Элитный отряд,8,,2007,""['Action, Crime']"""
"«V» значит Вендетта,""8,1"",,2005,""['Action, Drama']"""
"Самурай,""8,1"",,1967,""['Crime, Drama']"""
"Человек-паук: Через Вселенные,""8,4"",,2018,""['Animation, Action']"""
"Весна, лето, осень, зима... и снова весна,8,,2003,""['Drama, Romance']"""
"Легенда о пианисте,""8,1"",,1998,""['Drama, Music']"""
"История Элли,8,,2009,""['Drama, Mystery']"""
"Адаптация,""7,7"",,2002,""['Comedy, Drama']"""
"Леди Бёрд,""7,4"",,2017,""['Comedy, Drama']"""
"Танцующий с волками,8,,1990,""['Adventure, Drama']"""
"Послание,""8,2"",,1976,""['Biography, Drama']"""
"Мужские разборки,""8,1"",,1955,""['Crime, Drama']"""
"Логан,""8,1"",,2017,""['Action, Drama']"""
"Элитный отряд: Враг внутри,8,,2010,""['Action, Crime']"""
"Пустой дом,8,,2004,""['Crime, Drama']"""
"Шерлок младший,""8,2"",,1924,""['Action, Comedy']"""
"Туз в рукаве,""8,1"",,1951,""['Drama, Film']"""
"Грань будущего,""7,9"",,2014,""['Action, Adventure']"""
